target "start time (UTC)" "end time (UTC)" "duration (minutes)" "ra (h)" "ra (m)" "ra (s)" "dec (d)" "dec (m)" "dec (s)" configuration
Ch_PSRJ09014046_r "2025-07-05 22:50:00.000" "2025-07-05 23:10:00.000" 20.000000149011612 9.0 1.0 29.24900000000875 -40.0 -46.0 -2.984000000000151 "{'filt': 'r', 'texp': 120}"
Ch_SN2025gj_g "2025-07-05 23:10:00.000" "2025-07-05 23:30:00.000" 19.999999478459358 9.0 44.0 20.255999999995424 -21.0 -16.0 -22.40000000000265 "{'filt': 'g', 'texp': 200}"
Ch_SN2025gj_r "2025-07-05 23:30:00.000" "2025-07-05 23:50:00.000" 20.000000149011612 9.0 44.0 20.255999999995424 -21.0 -16.0 -22.40000000000265 "{'filt': 'r', 'texp': 200}"
Ch_SN2025gj_i "2025-07-05 23:50:00.000" "2025-07-06 00:10:00.000" 20.000000149011612 9.0 44.0 20.255999999995424 -21.0 -16.0 -22.40000000000265 "{'filt': 'i', 'texp': 200}"
Ch_SN2025gj_z "2025-07-06 00:10:00.000" "2025-07-06 00:30:00.000" 20.000000149011612 9.0 44.0 20.255999999995424 -21.0 -16.0 -22.40000000000265 "{'filt': 'z', 'texp': 200}"
Ch_SN2025jus_g "2025-07-06 00:30:00.000" "2025-07-06 00:50:00.000" 19.999999478459358 14.0 34.0 20.899000000006964 3.0 40.0 24.350000000000023 "{'filt': 'g', 'texp': 200}"
Ch_SN2025jus_r "2025-07-06 00:50:00.000" "2025-07-06 01:10:00.000" 20.000000149011612 14.0 34.0 20.899000000006964 3.0 40.0 24.350000000000023 "{'filt': 'r', 'texp': 200}"
Ch_SN2025jus_i "2025-07-06 01:10:00.000" "2025-07-06 01:30:00.000" 20.000000149011612 14.0 34.0 20.899000000006964 3.0 40.0 24.350000000000023 "{'filt': 'i', 'texp': 200}"
Ch_SN2025jus_z "2025-07-06 01:30:00.000" "2025-07-06 01:50:00.000" 20.000000149011612 14.0 34.0 20.899000000006964 3.0 40.0 24.350000000000023 "{'filt': 'z', 'texp': 200}"
Ch_SN2024ggi_g "2025-07-06 01:50:00.000" "2025-07-06 02:10:00.000" 20.000000149011612 11.0 18.0 22.087000000010164 -32.0 -50.0 -15.270000000003847 "{'filt': 'g', 'texp': 200}"
Ch_SN2024ggi_r "2025-07-06 02:10:00.000" "2025-07-06 02:30:00.000" 19.999999478459358 11.0 18.0 22.087000000010164 -32.0 -50.0 -15.270000000003847 "{'filt': 'r', 'texp': 200}"
Ch_SN2024ggi_i "2025-07-06 02:30:00.000" "2025-07-06 02:50:00.000" 20.000000149011612 11.0 18.0 22.087000000010164 -32.0 -50.0 -15.270000000003847 "{'filt': 'i', 'texp': 200}"
Ch_SN2024ggi_z "2025-07-06 02:50:00.000" "2025-07-06 03:10:00.000" 20.000000149011612 11.0 18.0 22.087000000010164 -32.0 -50.0 -15.270000000003847 "{'filt': 'z', 'texp': 200}"
